Cycle,SD,FP,FZ,FailedZoneValue,FailedZoneDiff
789,2.76400108534,-13.7705901065,11559,0.0513362,-2.26910569662
790,2.76402158232,-13.7706323843,11559,0.0513362,-2.26906342253
791,2.76404207187,-13.7706746648,11559,0.0513362,-2.26902114571
792,2.76406256858,-13.7707169457,11559,0.0513362,-2.26897886483
793,2.76408305783,-13.7707592299,11559,0.0513362,-2.26893658432
794,2.76410354415,-13.7708015158,11559,0.0513362,-2.2688943022
795,2.7641240273,-13.7708438038,11559,0.0513362,-2.26885201415
796,2.76414450871,-13.7708860938,11559,0.0513362,-2.26880972786
797,2.76416498428,-13.7709283866,11559,0.0513362,-2.26876743506
798,2.76418546168,-13.7709725881,11559,0.0513362,-2.26872514469
799,2.76420593258,-13.7710148834,11559,0.0513362,-2.2686828531
800,2.76422641041,-13.7710571793,11559,0.0513362,-2.26864055719
801,2.76424688129,-13.7710994778,11559,0.0513362,-2.26859826239
802,2.76426734697,-13.7711417784,11559,0.0513362,-2.26855596552
803,2.76428781238,-13.7711840803,11559,0.0513362,-2.26851366368
804,2.76430827522,-13.7712263834,11559,0.0513362,-2.26847136432
805,2.76432873841,-13.7712686874,11559,0.0513362,-2.26842906395
806,2.76434919451,-13.7713109927,11559,0.0513362,-2.26838675867
807,2.76436964979,-13.7713532992,11559,0.0513362,-2.26834445594
808,2.76439010237,-13.771395608,11559,0.0513362,-2.2683021509
809,2.76441055178,-13.7714379178,11559,0.0513362,-2.26825984107
810,2.76443100457,-13.7714802272,11559,0.0513362,-2.26821753535
811,2.7644514591,-13.7715225372,11559,0.0513362,-2.26817522535
812,2.76447190457,-13.771564849,11559,0.0513362,-2.26813291735
813,2.76449234858,-13.7716071611,11559,0.0513362,-2.26809060889
814,2.76451279016,-13.7716494747,11559,0.0513362,-2.26804829531
815,2.76453322968,-13.7716917885,11559,0.0513362,-2.26800598524
816,2.76455366523,-13.771734104,11559,0.0513362,-2.26796367344
817,2.76457410047,-13.7717764195,11559,0.0513362,-2.26792135799
818,2.76459453478,-13.7718187353,11559,0.0513362,-2.26787904586
819,2.76461496338,-13.7718610524,11559,0.0513362,-2.26783673249
820,2.76463539094,-13.7719052775,11559,0.0513362,-2.26779441481
821,2.76465581827,-13.771947595,11559,0.0513361,-2.26775210104
822,2.76467624155,-13.7719899132,11559,0.0513361,-2.26770978651
823,2.76469665921,-13.7720322324,11559,0.0513361,-2.26766746734
824,2.76471708029,-13.7720745514,11559,0.0513361,-2.26762515206
825,2.76473748844,-13.7721168731,11559,0.0513361,-2.26758283406
826,2.76475789628,-13.7721591949,11559,0.0513361,-2.26754051224
827,2.76477830622,-13.7722015169,11559,0.0513361,-2.26749819398
828,2.76479870513,-13.7722438404,11559,0.0513361,-2.26745587422
829,2.76481910781,-13.7722861643,11559,0.0513361,-2.26741355406
830,2.76483951561,-13.772328487,11559,0.0513361,-2.2673712314
831,2.7648599133,-13.7723708125,11559,0.0513361,-2.26732890959
832,2.76488030602,-13.7724131387,11559,0.0513361,-2.26728658707
833,2.76490069729,-13.7724554659,11559,0.0513361,-2.26724425994
834,2.76492108417,-13.7724977943,11559,0.0513361,-2.26720193527
835,2.76494146638,-13.7725401236,11559,0.0513361,-2.26715960963
836,2.76496184617,-13.7725824545,11559,0.0513361,-2.26711727873
837,2.76498222142,-13.7726247867,11559,0.0513361,-2.26707495027
838,2.76500259525,-13.7726671193,11559,0.0513361,-2.26703262138
839,2.76502296354,-13.772709454,11559,0.0513361,-2.26699028667
840,2.76504334166,-13.7727536952,11559,0.0513361,-2.26694795658
841,2.76506370743,-13.7727960315,11559,0.0513361,-2.26690562405
842,2.76508407034,-13.7728383689,11559,0.0513361,-2.2668632866
843,2.76510442683,-13.7728807082,11559,0.0513361,-2.266820951
844,2.76512477899,-13.772923049,11559,0.0513361,-2.26677861393
845,2.76514513094,-13.7729653917,11559,0.0513361,-2.26673627122
846,2.7651654822,-13.7730077345,11559,0.0513361,-2.26669393215
847,2.76518582659,-13.7730500797,11559,0.0513361,-2.26665159072
848,2.76520616521,-13.7730924268,11559,0.0513361,-2.26660924359
849,2.76522650782,-13.7731347749,11559,0.0513361,-2.26656689919
850,2.76524683975,-13.7731771255,11559,0.0513361,-2.26652455237
851,2.76526717052,-13.7732194784,11559,0.0513361,-2.26648219949
852,2.76528749438,-13.7732618329,11559,0.0513361,-2.26643984873
853,2.76530781675,-13.7733041886,11559,0.0513361,-2.26639749674
854,2.76532813067,-13.7733465477,11559,0.0513361,-2.26635513764
855,2.76534844272,-13.7733889082,11559,0.0513361,-2.26631278086
856,2.76536875502,-13.7734312701,11559,0.0513361,-2.26627041893
857,2.76538906446,-13.7734736336,11559,0.0513361,-2.26622805916
858,2.76540937083,-13.7735179067,11559,0.0513361,-2.26618569711
859,2.76542967231,-13.7735602752,11559,0.0513361,-2.26614332865
860,2.76544997487,-13.7736026439,11559,0.0513361,-2.26610096365
861,2.76547027426,-13.7736450148,11559,0.0513361,-2.26605859279
862,2.76549056191,-13.7736873896,11559,0.051336,-2.26601622173
863,2.76551084749,-13.7737297664,11559,0.051336,-2.26597384493
864,2.76553112623,-13.7737721458,11559,0.051336,-2.26593146917
865,2.76555140541,-13.7738145271,11559,0.051336,-2.26588908791
866,2.76557168556,-13.7738569102,11559,0.051336,-2.26584670486
867,2.76559195925,-13.7738992957,11559,0.051336,-2.26580432302
868,2.76561223082,-13.7739416838,11559,0.051336,-2.26576193495
